"DAY","TRACK","SESSION_TITLE","START_TIME","END_TIME","CALC_DURATION","NOTES","Planned duration","Paper ID","Created","Last Modified","Paper Title","Abstract","Primary Contact Author Name","Authors","Primary Subject Area","Secondary Subject Areas","Files","Number of Files","Q1 (Presentation Options)","Q1 (Presentation Options - Value)","Q2 (Flexible Presentation Format)","Q3 (Flexible Presentation Length)","Q4 (Learning Objectives)","Q5 (Presenter(s) Name)","Q6 (Presenter(s) Bio)","Q7 (Link(s) )"
,,,,,,,15,4,"4/20/2026 2:31:16 AM +00:00","7/2/2026 11:31:55 AM +00:00","The RCP Discovery Internship Program: Building a Global Innovation Lab for Research Software","The RCP Discovery Internship Program at WEHI (Walter and Eliza Hall Institute of Medical Research) presents a novel model for advancing research software through a globally distributed, fully online internship framework. Since its launch in July 2021, the program has engaged over 300 interns from six continents across 14 intakes, while proving that research software complexity can be addressed efficiently with minimal resources while reducing risk and maximising efficiency and effectiveness.

This presentation describes how the program functions as an innovation lab for interns: recruiting intentionally multi-disciplinary teams, embedding DEI principles, and deploying a ""best effort"" mentorship philosophy that prioritises critical thinking, adaptability, and tolerance for ambiguity over rigid deliverables. 

We outline the operational strategies that enable a single supervisor to manage cohorts of up to 40 interns simultaneously, including structured documentation practices, Individual Learning Plans, Technical Diaries, asynchronous feedback mechanisms, with a focus on guided autonomy.

We also showcase how this program has innovated for researchers, highlighting three key outcomes: Bioconductor package compliance, streamlined flow cytometry workflows via automated file merging, and the REDMANE research data ecosystem that is now available as a demo.

We also highlight how this program has created a new effective methodology for tackling complex software projects that moves from proof-of-concept through to handover, deliberately surfacing complexity early rather than deferring it.","Rowland Mosbergen","Rowland Mosbergen (WEHI)*","Research Software Without Borders","Research Software Without Borders -> Community and Collaboration; Research Software Without Borders -> Equity, Access and Knowledge; Research Software Without Borders -> Skills, Training and Careers",,0,"15-minute Presentation",3,,,"Online internship programs can match or exceed the effectiveness of in-person programs while reaching a wider, more inclusive audience.

A single supervisor can effectively manage multiple interns through structured alternative methodologies.

Testing innovative methods with interns before wider deployment reduces costs and risk while improving outcomes.

Surfacing complexity early in complex projects reduces risk and delivers better results.
","Rowland Mosbergen","Rowland is a strategic leader in digital research infrastructure with 25+ years’ experience translating HPC, AI, data and cloud technologies into scalable research and industry services used by global communities. Known for building partnerships across researchers, national infrastructure providers and technology teams to deliver high-impact digital capability, Rowland provides strategic direction, inclusive leadership and scalable programs that accelerate research adoption and demonstrate measurable impact.

Rowland co-founded RSAA, RSAfrica, and RS Latin America, and established Equersa, the umbrella organisation supporting all three regional conferences. He also serves on the steering committee of the RSE Australia New Zealand Association.","https://www.linkedin.com/in/rowlandm-gaicd/"
,,,,,,,15,5,"4/20/2026 4:17:56 AM +00:00","5/16/2026 1:22:06 PM +00:00","   REDMANE: A Lightweight Ecosystem for Research Data Management Across Organisations and Diverse Data Types","Managing research data in multi-organisational, multi-omics environments is increasingly complex yet most existing systems are built for institutions, not researchers. REDMANE (REsearch Data Management & ANalysis Environment) is a lightweight, researcher-focused ecosystem that addresses this critical gap and may be ideal for universities and research institutes in Africa.

Designed with input from over 40 interns and research staff across clinical, molecular, and data science disciplines, REDMANE replicates the usability of modern library systems for research data. It will combine a flexible data registry with ingestion tools that deliver immediate value to researchers by simplifying curation, improving discoverability, and enabling long-term data retrieval across institutions.

Crucially, REDMANE highlights the growing need for international standards to support interoperability between these data portals. To unlock the full potential of federated research ecosystems, we must co-develop shared frameworks for authentication and authorisation, mapping unique identifiers between ssytems and making it easier to maintain and develop ecosystems that are fit-for-purpose. REDMANE is built with this future in mind, enabling researchers to plug into a broader, evolving network of interoperable tools and services.

Unlike platform-centric tools, REDMANE is domain-agnostic and scalable - capable of supporting legacy and incoming datasets in projects in the biomedical space. Its modular architecture supports diverse data portals (e.g., Omero, cBioPortal), enabling researchers to keep large datasets locally while cataloguing and accessing them via a shared metadata layer.

This architecture should also support other domains including Digital Humanities Arts and Social Sciences.

By aligning technical capability with real researcher needs, REDMANE demonstrates that uptake, not just delivery, is the key to sustainable RDM. This talk will present REDMANE’s design, use cases, and early implementation feedback, and invite collaboration to grow its open-source, community-driven future.","Rowland Mosbergen","Rowland Mosbergen (WEHI)*","Research Software Without Borders","Research Software Without Borders -> Data Platforms and Data Spaces",,0,"15-minute Presentation",3,,,"Highlight update, not just delivery is the key to sustainable Research Data Management.

Provide a 1 year update on how the project is progressing.

Understand the need for interoperability of web based data portals.

Identify opportunities for people to join its open source community.","Rowland Mosbergen","Rowland is a strategic leader in digital research infrastructure with 25+ years’ experience translating HPC, AI, data and cloud technologies into scalable research and industry services used by global communities. Known for building partnerships across researchers, national infrastructure providers and technology teams to deliver high-impact digital capability, Rowland provides strategic direction, inclusive leadership and scalable programs that accelerate research adoption and demonstrate measurable impact.

Rowland co-founded RSAA, RSAfrica, and RS Latin America, and established Equersa, the umbrella organisation supporting all three regional conferences. He also serves on the steering committee of the RSE Australia New Zealand Association.","https://www.linkedin.com/in/rowlandm-gaicd/"
,,,,,,,15,6,"4/29/2026 10:18:51 AM +00:00","7/2/2026 11:35:58 AM +00:00","Doing Science in the Age of AI, when the system isn’t built for you","Science is often described as a global and borderless enterprise, yet for many researchers in low- and middle-income countries (LMICs), participation remains constrained by limited access to infrastructure, research software, training, and knowledge systems. Drawing on experiences from a bioinformatics and open science community in Nigeria, this presentation explores how these systemic barriers shape the way research software is accessed, used, and sustained in resource-limited settings.

With the rapid rise of artificial intelligence (AI), new opportunities are emerging to lower barriers to research practice. AI-enabled tools are increasingly supporting literature access, code generation, data analysis, and self-directed learning—offering alternative pathways for researchers who lack formal training or institutional support. However, these benefits are unevenly distributed and depend heavily on access to stable internet, compute resources, and inclusive datasets. Without deliberate efforts, AI risks reinforcing existing inequities in research software ecosystems.

This talk positions AI as part of a broader research software landscape and argues that achieving “research software without borders” requires more than tool adoption. It highlights the need for open, community-driven infrastructure, inclusive training models, and equitable access to knowledge. By sharing practical lessons and lived experiences, this presentation contributes to ongoing conversations on building sustainable, accessible, and community-led research software ecosystems across Africa.

Here is the full article: https://doi.org/10.54900/69s4r-kd236","Seun Olufemi","Seun Olufemi (Bioinformatics Outreach Nigeria)*","Research Software Without Borders -> AI and Emerging Tools","Research Software Without Borders -> Community and Collaboration; Research Software Without Borders -> Data Platforms and Data Spaces; Research Software Without Borders -> Equity, Access and Knowledge; Research Software Without Borders -> Reproducibility, FAIR and Open Research; Research Software Without Borders -> Skills, Training and Careers; Research Software Without Borders -> Sustainability and Impact",,0,"15-minute Presentation",3,,,"1. Identify key structural barriers affecting access to research software in LMICs
2. Explain how AI tools can both reduce and reinforce inequities in research practice
3. Recognize the role of community-led initiatives in supporting research software access and training
4. Apply practical strategies for building more inclusive and sustainable research software ecosystems
5. Reflect on how their own work can contribute to “research software without borders”","Seun Olufemi","Seun Olufemi is a Public Health researcher who specializes in digital skilling for the Open Science (OS) community of practice. He organizes training, workshops, and mentorship programs for early-career OS researchers at the Bioinformatics Outreach Nigeria. Seun is an Open Life Science Resident Fellow, PREreview Champion, ASAPbio Fellow, and an IGDORE Sweden Scholar.","https://www.linkedin.com/in/seun-olufemi-9940b9220/"
,,,,,,,15,7,"5/5/2026 8:36:49 AM +00:00","7/2/2026 12:50:34 PM +00:00","I Didn't Know I Could: Barriers to Research for Adults in Underrepresented Communities and the Organisations Already Closing the Gap","For many adults in underrepresented communities across the Global South, research is something that happens elsewhere. It happens in universities they did not attend, in institutions they are not affiliated with, and in languages and formats that were not designed with them in mind. The result is not a lack of curiosity or capability. It is a gap in access, visibility, and permission.


This talk examines four specific barriers that keep capable, observant, and motivated people from entering research: not knowing how to frame everyday work and observations as research; having no researcher in their immediate community to model the path; believing research requires a PhD or institutional affiliation; and not knowing where to publish or share findings openly once they exist.


These are not abstract barriers. They are drawn from lived experience as a self-directed researcher and educator in Lagos, Nigeria, navigating these exact walls without institutional support.


But this talk is not only about the problem. It gives direct credit to the organisations already doing the work to close these gaps, including Open Life Science, Outreachy, The Carpentries, and others building community-led, open, and accessible pathways into research for people who were never told they belonged there.


The session ends with an honest reflection and an open invitation: what would it look like if every community had one person who had crossed that threshold and came back to show others the way?
","Olushola Ogunkelu","Olushola Ogunkelu (The coding clubhouse IDE)*","Research Software Without Borders -> Equity, Access and Knowledge","Research Software Without Borders -> Community and Collaboration; Research Software Without Borders -> Reproducibility, FAIR and Open Research; Research Software Without Borders -> Skills, Training and Careers",,0,"15-minute Presentation",3,,,"1. Identify the four specific barriers that prevent capable adults in underrepresented communities from entering research, and understand how each one operates in practice.

2. Recognise that everyday teaching, community, and professional observations can be framed and valued as legitimate research contributions.

3. Discover organisations actively building accessible, open pathways into research for people without institutional affiliation, and understand how to connect people with them.

4. Reflect on their own role in lowering barriers for others in their community, institution, or open source project.

5. Leave with at least one concrete action they can take to support someone in their network who does not yet see themselves as a researcher.","Olushola Ogunkelu","Olushola Ogunkelu is a computer science student, independent researcher, and tech educator based in Lagos, Nigeria. She is the founder of the Coding Clubhouse, a community education initiative teaching foundational programming to children in underrepresented areas of Nigeria. She has delivered over 309 hours of one-on-one technical instruction through Preply, contributed documentation to open source projects including Chisel3 and the Galaxy Project, and mentored open source contributors through Outreachy. She is a Carpentries helper and an active participant in the Open Life Science community. Her research interest is in tech education pedagogy and equitable access to research for adults in underrepresented communities.  she is submitting it as proof that the barriers she describes are real, and crossable.","https://www.linkedin.com/in/olushola-ogunkelu/"
,,,,,,,10,8,"5/5/2026 12:03:06 PM +00:00","5/5/2026 2:01:30 PM +00:00","Automating AMR Surveillance; A Resource-Efficient Pipeline for Genomic Discovery in Kenya","In resource-limited settings, the gap between raw genomic data and actionable public health policy is often widened by a lack of accessible, automated workflows. This demonstration showcases a reproducible bioinformatics pipeline developed to identify Antimicrobial Resistance markers within the Kenyan research ecosystem.
Leveraging open-source Linux/Bash scripting and R-based visualization, this showcase demonstrates how research software can be used to do more with less. The presenter will walk through a live workflow, from processing raw sequence reads to generating diagnostic-ready reports, that has been utilized to support the One Health AMR Community Initiative. By focusing on FAIR (Findable, Accessible, Interoperable, and Reusable) software practices, this session illustrates how African researchers can lead genomic surveillance efforts without relying on expensive, proprietary platforms. The presentation will also touch upon the socio-behavioral impact of this software, highlighting how technical outputs were translated to reach over 1,000,000 citizens through community advocacy.","Ogoti Mogire","Ogoti Mogire (University of Kabianga)*","Research Software Without Borders -> Reproducibility, FAIR and Open Research","Research Software Without Borders -> Data Platforms and Data Spaces; Research Software Without Borders -> Sustainability and Impact","RSAfrica26 Pitch Proposal.pdf (160,927 bytes)",1,"10-minute Demo/Showcase",2,,,"Practical Workflow Execution: Understand how to build a basic AMR identification pipeline using command-line tools and Bash automation.
Resource Optimization: Learn strategies for managing and analyzing large genomic datasets on limited local infrastructure.
Data Translation: Discover how to bridge the gap between technical research software outputs and community-led public health advocacy.
Reproducible Practice: Apply FAIR principles to ensure research software is sustainable and reusable across different institutional settings.","Ogoti Duncan Mogire
University of Kabianga / American Society for Microbiology (ASM)","Ogoti Duncan Mogire is a Research Scientist and the ASM Young Ambassador to Kenya. With a background in Microbiology and a recent distinction in Bioinformatics from Wellcome Connecting Science, his work focuses on viral immunogenetics and antimicrobial resistance. As the founder of the One Health AMR Community Initiative, he specializes in bridging high-level molecular research with grassroots community impact. Duncan is currently a fellow of the ASM Future Leaders Mentorship Program and an active advocate for diagnostic equity in the Global South."," https://linkedin.com/in/dancan-mogire-2ba4ba3b7"
,,,,,,,15,9,"5/6/2026 6:59:32 PM +00:00","7/2/2026 12:48:18 PM +00:00","https://www.linkedin.com/in/emmanuel-ugwu-b58b80223","In many parts of Africa, people don’t start their journey into research software because they saw a clear path. They start because someone showed them what was possible.

This talk is rooted in that reality.

I’ll be sharing my journey of building and supporting tech communities across Africa. Spaces where people move from having little or no exposure to actually contributing, learning, and growing in research software. Through initiatives like community workshops, conference sponsorships, and mentorship, I have seen firsthand what happens when access meets opportunity.

But I’ll also be honest about the challenges: unstable internet, limited resources, low awareness, and the difficulty of sustaining engagement after the excitement of a single event fades.

This session is not about perfect systems. It’s about what has worked, what hasn’t, and what we’re still figuring out.

At its core, this talk connects to “Research Software Without Borders” by showing that building global research ecosystems starts with local communities, with people helping people, one step at a time.","Nnamdi  Ugwu","Nnamdi  Ugwu (Black Python Devs )*","Research Software Without Borders -> Community and Collaboration",,,0,"15-minute Presentation",3,,,"1). Community is the real infrastructure — tools matter, but people and support systems are what truly drive research software growth.
2). Access changes trajectories — a single workshop, mentorship, or opportunity can move someone from zero exposure to active contribution.
3). You can build impact with limited resources — constraints like poor internet or funding don’t stop progress; they shape more creative, resilient solutions.
4). Sustainability requires consistency, not just events — long-term engagement comes from continuous support, not one-off programs.
5). Local communities are the foundation of global ecosystems — strengthening grassroots efforts is how we build truly connected, borderless research software communities.","Ugwu Nnamdi Emmanuel ","Ugwu Nnamdi Emmanuel is a software engineer and community builder passionate about expanding access to technology across Africa. His journey started with limited exposure, but over time, he has grown into someone who now creates opportunities for others to get started.

As Regional Executor for Africa at Black Python Devs, he has supported hundreds of students and early-career developers across countries like Nigeria, Ghana, Uganda, and South Africa, helping them find direction in tech and research software.

He has organized workshops,  led to sponsor students to attend conferences like PyCon Nigeria, and continues to build spaces where people can learn, grow, and belong.

His work is driven by a simple idea: when people are given access and support, they don’t just learn, they go on to create impact.","https://www.linkedin.com/in/emmanuel-ugwu-b58b80223"
,,,,,,,10,10,"5/11/2026 12:34:35 PM +00:00","5/11/2026 12:37:27 PM +00:00","From Contributor to Maintainer: Growing Community‑Led Open Source Research Software in Africa","Behind every sustainable research software project is not just code, but a healthy community. In this session, I will share my journey from a student who started as a contributor to maintainer of open-source projects, and what that experience has taught me about building African, community‑led research software.

I’ll unpack the practical side of “community building” that often gets glossed over: how we design onboarding that welcomes first‑time contributors, how we structure issues so students can pick up real work, and how we use documentation, code review, and mentorship to turn casual contributors into long‑term collaborators. I’ll also talk honestly about challenges, burnout, conflict, stagnation, and the small governance practices that helped us stay inclusive, transparent, and resilient over time.

Rather than focusing on a single project, this talk will highlight reusable patterns that RSEs, researchers, and student leaders can adapt to their own contexts across Africa. If you are trying to turn a one‑person project into a community‑owned research tool, this session is designed to give you concrete steps, not just encouragement.","Fuad Adegoke","Fuad Adegoke (Drips)*","Research Software Without Borders -> Community and Collaboration","Research Software Without Borders; Research Software Without Borders -> Equity, Access and Knowledge; Research Software Without Borders -> Skills, Training and Careers; Research Software Without Borders -> Sustainability and Impact",,0,"10-minute Demo/Showcase",2,,,"By the end of this session, participants will be able to:

- Describe the key differences between contributing to a project and maintaining one in a research context.

- Design onboarding and contribution workflows that lower the barrier for first‑time contributors, especially students and early‑career RSEs.

- Apply simple governance, documentation, and communication practices to keep open research software communities inclusive and sustainable.

- Recognise and respond to common community challenges such as contributor drop‑off and maintainer burnout.","Fuad ALIPHATIC Adegoke","Fuad Adegoke is a systems and software engineer based in Lagos, Nigeria, with a focus on open‑source development, research software, and developer communities in West Africa. He has contributed to and maintained multiple open‑source projects, including tools and platforms that support learning, experimentation, and data‑driven work. His experience spans across web applications, and blockchain infrastructure, with a strong emphasis on documentation, community onboarding, and mentoring career driven students. Fuad is passionate about making research software more accessible and community‑owned, particularly in environments where infrastructure, funding, and institutional support are limited.","https://www.linkedin.com/in/adegoke-fuad-ajibola

https://github.com/ALIPHATICHYD

https://verso.w3.uvm.edu/2023/08/04/open-source-profile-adegoke-fuad-aliphatic/"
,,,,,,,5,11,"5/11/2026 1:35:19 PM +00:00","5/16/2026 1:19:31 PM +00:00","Training the Trainers: Community-Led Bioinformatics Training with Bioconductor Across Africa ","Community-led training, local instructor development, and open educational resources are increasingly important for sustaining computational research capacity and reproducible analysis practices in under-resourced settings. Through Bioconductor, an open-source research software ecosystem for biological data analysis, training activities across Africa have focused not only on introducing researchers to bioinformatics workflows but also on supporting local teaching capacity and creating pathways for continued skills development. Although high-throughput sequencing technologies are increasingly used across Africa, access to structured and advanced bioinformatics training remains limited, restricting the adoption of reproducible genomic analysis workflows across many institutions.

Through a Chan Zuckerberg Initiative-funded project, Bioconductor expanded coordinated bioinformatics training activities across East and West Africa in 2025. Three intensive in-person workshops were delivered in Nairobi (Kenya), Addis Ababa (Ethiopia), and Abomey-Calavi (Benin), training 83 researchers from universities, national research institutes, and biotechnology organisations.

The workshops provided hands-on training in R, reproducible research practices, SummarizedExperiment, and bulk RNA-seq analysis using DESeq2. Training combined structured instruction with practical exercises and concluded with a “Bring-Your-Own-Data” day, where participants applied newly acquired skills directly to their own datasets. Evaluations across the workshops showed strong improvements in R proficiency, high satisfaction with the training, and strong interest in future Bioconductor activities. In Benin, French-language instructional support and translated materials improved accessibility within a multilingual research environment. Alongside participant training, six African researchers completed Carpentries instructor certification, strengthening local capacity to sustain future training activities.

Participants across all workshop sites expressed strong interest in advanced topics including single-cell transcriptomics, population genomics and GWAS, metagenomics, CRISPR applications, multi-omics integration, and workflow management. To begin addressing this need, Bioconductor delivered an introductory seminar on the Bioconductor ecosystem for researchers and RSEs across Africa, alongside a microbiome analysis seminar series introducing participants to microbiome data science using Bioconductor tools and reproducible analysis practices. Bioconductor also began developing a specialised training roadmap for 2026–2027, including online seminars, advanced workshops co-designed with regional partners, and clearer pathways linking introductory and advanced training.

These approaches may also be useful for similar capacity-building efforts in other regions where access to advanced bioinformatics and research software training remains limited.","Laurah Ondari","Laurah Ondari (International Institute of Tropical Agriculture (IITA)/ Bioconductor)*; Trushar Shah (International Institute of Tropical Agriculture (IITA)); Maria Doyle (University of Limerick)","Research Software Without Borders -> Skills, Training and Careers","Research Software Without Borders -> Community and Collaboration; Research Software Without Borders -> Equity, Access and Knowledge; Research Software Without Borders -> Sustainability and Impact",,0,"5-minute Lightning Talk",1,,,"Attendees will gain insight into how community-led training and local instructor development can support reproducible computational research and longer-term research software engagement in under-resourced settings. The session will share practical lessons from organising and scaling Bioconductor training activities across multiple African countries, including what worked, challenges encountered, and how participant feedback shaped later activities and training priorities.","Laurah Nyasita Ondari","Laurah Ondari is a bioinformatician based at the International Institute of Tropical Agriculture (IITA) at the ILRI campus in Nairobi, Kenya, where her work focuses on genomics, transcriptomics, and reproducible bioinformatics workflows. She holds an MSc in Bioinformatics and a BSc in Medical Biochemistry.

She contributes to the Bioconductor community through social media and community engagement support, helping expand the reach of Bioconductor training activities across Africa. Laurah is also an Open Source Manager with OSPO Now under the Data Science Without Borders initiative, where she supports open science and research software activities across the continent.

Alongside this, she is a co-founder of the Bioinformatics Hub of Kenya Initiative (BHKi), a volunteer-run community supporting mentorship, peer learning, and bioinformatics capacity development. She also serves as a mentor and governance committee member with Open Life Science (OLS).","https://www.linkedin.com/in/laurah-ondari-749175b6/"
,,,,,,,5,12,"5/13/2026 5:57:02 AM +00:00","5/13/2026 5:57:02 AM +00:00","Got a Data Challenge? There's a Global Community for That: An Introduction to the Research Data Alliance (RDA)","The Research Data Alliance (RDA) is a global, community-driven organisation bringing together researchers, technologists, data professionals, and infrastructure providers to solve research data challenges collaboratively across disciplines and borders. This lightning talk provides a practical introduction to the RDA ecosystem - how to join, find your community, contribute to existing Interest and Working Groups, and even start a new group around a shared data challenge or emerging topic. Attendees will gain a clear understanding of how open, international collaboration within the RDA can help transform local research data problems into globally supported community solutions.","Trish Radotic","Trish Radotic (Research Data Alliance)*","Research Software Without Borders -> Community and Collaboration","Research Software Without Borders -> Reproducibility, FAIR and Open Research",,0,"5-minute Lightning Talk",1,,,"- Understand what the Research Data Alliance is and how it operates as a global, community-led body
- Learn the various ways to join RDA and engage with existing working or interest groups
- Understand the process for proposing a new RDA group to address an unmet data challenge
- Recognise RDA as a community-driven, open resource relevant to research software and data communities across Africa","Trish Radotic","Trish Radotic is the Regional Community Manager for Oceania and East Asia with the Australian Research Data Commons, based at the Curtin Institute for Data Science at Curtin University, Western Australia.

She brings more than 20 years of experience across information technology, marketing, international business, and community engagement.

Trish holds a Bachelor of Commerce in Accounting and Finance, an MBA in Marketing and International Business, and a Graduate Diploma in Software Programming. Through her work with the Research Data Alliance, she supports international open research communities and initiatives that advance the sharing and reuse of research data across disciplines, technologies, and borders.

Her interests include open research, AI, and fostering global collaboration through community connection and knowledge sharing.","https://www.linkedin.com/in/trishradotic/"
,,,,,,,15,13,"5/13/2026 11:21:53 AM +00:00","5/13/2026 11:21:53 AM +00:00","Building Reproducible Genomic Analysis Pipelines for Enterococcus Surveillance in Resource-Constrained Research Environments","Whole-genome sequencing (WGS) is increasingly central to antimicrobial resistance (AMR) surveillance and bacterial epidemiology. However, transforming raw sequencing data into reproducible and scalable analyses remains challenging in many resource-constrained research environments due to limited computational infrastructure, fragmented workflows, and inconsistent access to training and high-performance computing resources.

This presentation describes the development of a reproducible bioinformatics pipeline for Enterococcus genomic surveillance in Ghana using Linux- and Python-based research software practices. The pipeline integrates short-read WGS processing, automated metadata organization, comparative genomics, and pangenome analysis using both locally generated and publicly available datasets. It is designed to support scalable characterization of AMR determinants, population structure, and plasmid diversity within a One-Health framework.

A key component of this work is the integration of a machine learning-based approach for plasmid typing from short-read sequencing data, aimed at improving genomic interpretation in settings where long-read sequencing is not routinely available. The workflow is implemented using accessible consumer-grade computing infrastructure, demonstrating that robust and reproducible genomic analyses can be achieved without reliance on high-performance computing systems.

The presentation highlights practical lessons in workflow design, including reproducibility, portability, automation, metadata harmonization, and sustainable software practices. By sharing experiences from Ghana, this work demonstrates how research software can be designed to be both locally feasible and globally reusable, contributing to equitable access to computational genomics tools and strengthening bioinformatics capacity across Africa and other resource-limited settings.","Bill Aglomasa","Bill Aglomasa (University of Ghana)*","Research Software Without Borders -> Reproducibility, FAIR and Open Research","Research Software Without Borders -> AI and Emerging Tools; Research Software Without Borders -> Equity, Access and Knowledge; Research Software Without Borders -> Infrastructure and Platforms",,0,"15-minute Presentation",3,,,"1. Understand key principles for designing reproducible bioinformatics pipelines in resource-constrained environments.

2. Identify practical approaches for integrating Linux- and Python-based tools into scalable genomic workflows.

3. Explore how machine learning can be applied to plasmid typing using short-read sequencing data. 

4. Recognize strategies for improving metadata management, workflow automation, and reproducibility in AMR surveillance.

5. Appreciate how accessible computing infrastructure can support advanced genomic research in low-resource settings.","Bill Clinton Aglomasa","Bill Aglomasa is a PhD candidate in Medical Microbiology in Ghana, working at the intersection of antimicrobial resistance research, bioinformatics, and research software development within a One-Health framework. His research focuses on the molecular epidemiology of Enterococcus species using whole-genome sequencing to study population structure, antimicrobial resistance, and plasmid diversity.
He develops reproducible bioinformatics workflows using Linux and Python for genomic data analysis, including pangenome analysis, comparative genomics, and metadata harmonization. His current work also integrates machine learning approaches for plasmid typing from short-read sequencing data, with a focus on improving genomic surveillance in resource-constrained environments. His broader interests include reproducible research practices, sustainable computational genomics, and building accessible research software workflows that support capacity development across resource-limited settings.","https://www.linkedin.com/in/bill-clinton-aglomasa/"
